code,date,comments,likes,caption,image
BJItxUogMAZ,1471278760,2,159,"Že vraj šokujúca a kontroverzná kniha, v zahraničí veľký bestseller! Skúsite? 📖 #tipnaknihu #knihy #martinussk #karloveknausgaard #mujboj #nakladatelstviodeon #pravecitam",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13707017_325027044552921_605623314_n.jpg?ig_cache_key=MTMxNzUwNDE5MjUwNzU5MjcyOQ%3D%3D.2
BJAHMRvAc2R,1470990098,20,255,"Viete čo je toto? Náš sklad! A odteraz do pondelka 15.8. máme parádnu zľavu - 25% na všetky knihy na sklade! Neváhajte a zásobte sa, milí knihomoli😊📚📚📚 #martinussk #zlava #knihynasklade #netrebavahat #knihniejenikdydost",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c135.0.810.810/13658816_1759345084320694_1571831737_n.jpg?ig_cache_key=MTMxNTA4MjcyMTE5Mzc0MTcxMw%3D%3D.2.c
BI9jCHZgbtz,1470904032,1,339,Pssst! Niečo pre vás chystáme 🙈 #dnk2016 #denneprecitanychknih #natacame #kristinafarkasova,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13745078_1210234402330852_920734105_n.jpg?ig_cache_key=MTMxNDM2MDc0MzI3MzAyMDI3NQ%3D%3D.2
BI64TQZgqi3,1470814519,2,463,Takýto upršaný deň si zaslúži dobrú knihu! A kávu! A koláč! 📖☕️🍰🙏 #martinussk #knihakavakolac #viaccasunacitanie #knihomoli #citamepodperinou,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13774766_168193020257417_1705928167_n.jpg?ig_cache_key=MTMxMzYwOTg1NTIxNDQ2MzE1OQ%3D%3D.2
BI4a5ysgCkK,1470731997,0,307,Aha! Krásna kniha Aha vyšla v limitovanej drevenej edícii ❤️ #aha #martinussk #tipnaknihu #tipnadarcek #slovenskavysivka #grafickydizajn #knihaaha,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13767580_264309133952384_1963168024_n.jpg?ig_cache_key=MTMxMjkxNzYxMjAzMTY1MDA1OA%3D%3D.2
BI2DG96gFVR,1470652413,6,333,"Nezabudnite, už len do konca tohto týždňa môžete súťažiť o tieto super záložky. Stačí spraviť foto ako si čítate, tagnuť tam @martinus_sk a pripísať hashtag #citamsmartinusom  Tri najkrajšie fotky odmeníme 😊 #martinussk #sutaz #citamsmartinusom #bookmarklovers",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c183.0.714.714/13721060_167192067036898_1375976824_n.jpg?ig_cache_key=MTMxMjI1MDAxNDM2MTIxMjI0MQ%3D%3D.2.c
BIr3LhPAY93,1470310615,0,203,"Čo vlastne vieme povedať o Afrike? Porovnajme si svoje vedomosti s legendou svetovej reportáže, ktorý vo svojej knihe Eben prináša komplexný obraz čierneho kontinentu 📖 #tipnaknihu #knihy #martinus #vydavatelstvoabsynt #eben #ryszardkapuscinski",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13696498_496826177183542_93290415_n.jpg?ig_cache_key=MTMwOTM4MjgwMDgzODg1NjU2Nw%3D%3D.2
BIo61t1g1dY,1470211870,1,289,"Spomínate si na bestseller Kúzelné upratovanie? Marie Kondo teraz vydala novinku Upratané, kde prináša podrobné tipy, ako si vytvoriť pekný a štastný domov 🙏 #tipnaknihu #martinussk #knihy #mariekondo #kuzelneupratovanie #upratane #vydavatelstvopremedia",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13721033_264643800586286_898555984_n.jpg?ig_cache_key=MTMwODU1NDQ2OTc5NzIyMjIzMg%3D%3D.2
BImUVcMgHGJ,1470124574,17,260,"Ak aj vy fičíte na hre Pokémon GO, tak máme pre vás super správu! Do 7.8 máte v každom našom kníhkupectve percentuálnu zľavu na knižný nákup vo výške vášho trénerského levelu 😊 #martinussk #zlavy #pokemongo #pridsiprezlavunaknihy",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13712619_117983025311271_1751991670_n.jpg?ig_cache_key=MTMwNzgyMjE3NjExMTQ1NjY0OQ%3D%3D.2
BIjwsABgh3t,1470038775,0,417,"Spomínate si na tieto parádne záložky od @bookmarklovers.cz ? Tak teraz ich môžete vyhrať! Stačí, ak odfotíte ako si čítate, označíte @martinus_sk a pridáte hashtag #citamsmartinusom a my vyberieme tri najkrajšie fotky, ktorých autori získajú sadu záložiek 😊 Súťažíme do 14.augusta 😊 #martinussk #sutaz #citamsmartinusom #bookmarklovers",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13712801_911004839008341_1263321604_n.jpg?ig_cache_key=MTMwNzEwMjQ0Njc4MjM4OTc0MQ%3D%3D.2
BIhvUkRA4-1,1469970950,13,573,"Už čítate? 😊 Vo väčšine našich kamenných kníhkupectiev k dostaniu už dnes, internetové objednávky odosielame zajtra. #kniha #knihy #martinus #martinussk #tipnaknihu #pravecitam #cocitat #viaccasunacitanie #novyharrypotter #harrypotter",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/13694474_267956860251753_863106139_n.jpg?ig_cache_key=MTMwNjUzMzQ4ODQyOTg2MjgzNw%3D%3D.2.c
BIfw4SXAK_x,1469904658,10,456,Aj vy ste prežili dnešnú sobotu s knihou? 😊 #kniha #knihy #martinus #martinussk #tipnaknihu #pravecitam #cocitat #viaccasunacitanie,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/13741440_1224944987536444_738356613_n.jpg?ig_cache_key=MTMwNTk3NzM5MTE5NzIzNzIzMw%3D%3D.2.c
BIcUa8_gKFI,1469789075,12,386,A ako vyzerá vaše knižné leto? Pochváľte sa s hashtagom #letosknihou nech máme čo závidieť! 😊 #martinus #martinussk #knihy #kniha #citam #pravecitam #cocitat #viaccasunacitanie,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/13694932_627785020721653_1546912255_n.jpg?ig_cache_key=MTMwNTAwNzgwNTE1NzEyMjM3Ng%3D%3D.2.c
BIX5DfhA-qq,1469640509,2,226,"Spomínate si na našu súťaž s #martinustangram? Tak v poslednom kole sa šťastie usmialo na @annia_hu a Martin Michaela Tóth. Srdečne gratulujeme a všetkým ďakujeme za účasť, ste skvelí! 😊 #martinus #martinussk #knihy #kniha #tangram #sutaz",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/e35/13712329_1767543186800981_306367969_n.jpg?ig_cache_key=MTMwMzc2MTU0NTc5NjUxMjQyNg%3D%3D.2
BIXOHCNA9bc,1469617993,2,245,"Mechanický pomaranč je kult! Kto to nečítal doteraz, mal by to určite napraviť, vydavateľstvo Ikar totiž len nedávno vydalo knihu v slovenčine. 📖🍊 #tipnaknihu #knihy #martinussk #knihomoli #mechanickypomaranc #anthonyburgess #theclockworkorange #books #bookstagram",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/e35/13774664_1069042276522677_1613738110_n.jpg?ig_cache_key=MTMwMzU3MjY3MzIwMDM3OTYxMg%3D%3D.2
BIUQITmAMxs,1469518389,10,603,Naše krásne drevené záložky ste už videli? Doplnili sme staré zásoby a pridali jeden nový motív! ❤️ #martinussk #knihy #knihonoli #zalozky #drevenezalozky #books #bookstagram #bookmarks,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13736814_1726376310907464_281618334_n.jpg?ig_cache_key=MTMwMjczNzEzMTc1NTU4ODcxNg%3D%3D.2
BINvlvegYFP,1469300002,4,291,"Komu sa páčila kniha Letné svetlo a potom príde noc, určite neoľutuje, ak siahne po ďalšej knihe od Jóna Kalmana Stefánssona. Ryby nemajú nohy je krásne napísaný príbeh 📖 #tipnaknihu #knihy #martinussk #jonkalmanstefansson #rybynemajunohy #artforum",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13694743_1476689705690374_1437296106_n.jpg?ig_cache_key=MTMwMDkwNTE2OTE2NDI3MTk1MQ%3D%3D.2
